state,Murder per capita,Violent Crime per capita,Property Crime per capita,Undergrad_Grad_Rate,HS_Grad_Rate,STEM_Grad_Percentage,death_rate_Alzheimer's disease,death_rate_Cancer,death_rate_Heart disease,death_rate_Unintentional injuries,death_rate_All causes,death_rate_Influenza and pneumonia,death_rate_Suicide,death_rate_Kidney disease,death_rate_CLRD,death_rate_Diabetes
Kentucky,16.719042411792614,587.85192645804,3644.0004770268,49.2%,90.6%,18.0%,29.589473684210528,210.1578947368421,238.54736842105265,57.18421052631579,942.8157894736842,23.110526315789475,14.473684210526317,20.67368421052632,60.978947368421046,27.36315789473684
Kansas,,,,53.4%,87.2%,19.0%,23.410526315789475,175.83684210526317,184.33157894736843,42.57368421052632,794.221052631579,19.55263157894737,14.157894736842104,17.0,49.810526315789474,22.478947368421053
New York,5.760559813948957,514.9244106337201,991.73006579028,66.0%,82.8%,19.0%,10.142105263157896,168.03684210526316,227.4526315789473,26.357894736842105,708.4473684210526,22.51578947368421,7.1157894736842096,10.852631578947369,32.02105263157895,18.30526315789474
Wisconsin,24.189181828958457,53.06973761717564,169.85062207608,63.2%,90.1%,21.0%,24.1,175.6578947368421,183.1368421052632,43.59473684210526,748.6789473684211,16.757894736842104,12.68421052631579,14.347368421052632,39.352631578947374,20.157894736842103
Iowa,,,,68.5%,91.6%,20.0%,27.478947368421053,176.10526315789474,188.3368421052632,37.76315789473684,745.3157894736842,19.057894736842105,12.18421052631579,7.452631578947368,46.352631578947374,20.626315789473683
West Virginia,,,,47.0%,91.3%,18.0%,24.26315789473684,202.7894736842105,239.01052631578943,63.41578947368421,963.2105263157896,20.594736842105263,15.457894736842103,19.88421052631579,61.531578947368416,34.48421052631579
New Mexico,16.557399752354446,16.557399752354446,0.0,43.6%,75.1%,23.0%,18.93684210526316,155.95263157894738,169.7736842105263,64.56842105263158,779.2947368421053,17.48421052631579,20.04736842105263,12.3,46.63157894736842,29.526315789473685
Washington,6.988012870230298,643.41278312688,5425.1882210844,69.3%,81.1%,23.0%,40.98421052631579,173.9421052631579,166.13684210526316,38.8421052631579,730.6842105263158,13.147368421052631,13.789473684210526,6.278947368421052,43.526315789473685,23.473684210526315
Illinois,18.899006857189654,825.0953912371199,2731.7576961329996,61.5%,86.2%,19.0%,20.957894736842103,185.07894736842104,204.64210526315787,34.05263157894737,785.4,19.457894736842103,9.215789473684213,18.14736842105264,39.37368421052632,21.68947368421053
Indiana,20.574498875328057,992.23622872032,3545.4651697972804,61.1%,87.2%,22.0%,27.026315789473685,193.2263157894737,214.9157894736842,41.03157894736842,858.2736842105263,17.542105263157897,12.994736842105263,19.37894736842105,53.92631578947368,26.01052631578948
